Time, Username, Tweet, Replies, Retweets, Likes, Language, urlStatus
Jan 31,@abdullahnurdien,"Udah ngeh blm min?
Itu sms 86mb jam 16.06 tanggal 30.01 yang kemarin
Terus saya paketin lagi 16.07 dapet sms di gambar ini

Nah, yang saya komplain itu sms pada 2.59 pada tweet saya di awal, sisa 160mb tapi tbtb dapet sms begitupic.twitter.com/XBk9HOnomP",1,0,0,Indonesian,https://twitter.com/abdullahnurdien/status/958437120955244544
Jan 31,@abdullahnurdien,"Dibaca itu yang kemarin min 86 mb... Pas jam 16.06, terus gw paketin lagi saat itu juga
Kesedotnya baru tadi 2.59pic.twitter.com/KXYWrQhlt8",0,0,0,Indonesian,https://twitter.com/abdullahnurdien/status/958435888253435904
Jan 31,@abdullahnurdien,"@IndosatCare pusing saya min pake indosat... 
Kuota masih banyak kesedot terus...pic.twitter.com/bA4pzHybJb",2,0,0,Indonesian,https://twitter.com/abdullahnurdien/status/958429847474266112
Jan 31,@JasaWirya,"Sudah min sudah, lagian apa yang mau di clear cache juga?.. Kan udah dibilang udah diuninstal terus diinstal lagi tetep aja gak bisa, udah sebulan lebih min kayak gini dan saya gak bisa liat kuota sisa saya..pic.twitter.com/vNodmradtb",0,0,0,Indonesian,https://twitter.com/JasaWirya/status/958414587086254080
Jan 30,@ojieijo,"@IndosatCare masi juga lelet euy,, apakah bts bermasalah didaerah sini?? Karna kalau di kantor speedtest aman aman ajahttps://twitter.com/indosatcare/status/958039131791147008 …",1,0,0,Indonesian,https://twitter.com/ojieijo/status/958375804777373696
Jan 30,@ARP89,"@IndosatCare indosh*t ini kenapa saya pindah postpaid malah gak bisa telphone ke operator lain?
Udh bikin laporan telp CS katanya 3x hari kerja, ini udh 5x hari kerja, udah kirim email 2x ke CS telkomsel tak kunjung ada balasan. @jokowi @rudiantara_id smoke & mirrors",1,0,0,Indonesian,https://twitter.com/ARP89/status/958373529258373120
Jan 30,@haniifadly,"@IndosatCare min, katanya masih perpanjang 1 hari kemudian 3 hari, pas dipake ternyata pulsa reguler lgsg kepotong 59400 tanpa ada notifikasi kalo paket internet dinonaktifkan. Ini gimana??pic.twitter.com/mQEPufTV7c",2,0,0,Indonesian,https://twitter.com/haniifadly/status/958362435504648196
Jan 30,@safetianfz,Nasib pulsa sy yg kepotong secara ajaib gmn? Padahal posisi data seluler nonaktifpic.twitter.com/mn1Kb0YBOf,0,1,0,Indonesian,https://twitter.com/safetianfz/status/958347379517763584
Jan 30,@karinaanndttr,"@IndosatCare min, kmrn saya hbs beli paket unlimited 10gb tp pas mau aktivasi youtube nya kok ga muncul di my im3 ya itu gmn?",1,0,0,Indonesian,https://twitter.com/karinaanndttr/status/958337820342435841
Jan 30,@roktafianshah,"@IndosatCare kenapa sampai 3 kali saya tweet, tapi gaada respon jawaban min ? 
Masa iya kalah sama perusahan layanan transportasi yang sangat sigap dlm merespon :)",1,1,0,Indonesian,https://twitter.com/roktafianshah/status/958336773138006017
Jan 30,@DrSLSimonSpKK,@IndosatCare mohon dicek apa per panjangan otomatis paket bicara 10 jam tampaknya tidak berfungsi. Setiap bln selalu bermasalah dan mengakibatkan tagihan membludak setelah di cek perpanjangan otomatis tidak berfungsi.Biasanya stlh tlp dpt berita sms sdh bbrp hari ini tidak ada,1,0,0,Indonesian,https://twitter.com/DrSLSimonSpKK/status/958336244236218371
Jan 30,@satriana,@IndosatCare baru daftar paket roaming kmrn. Harusnya berlaku selama 3 hari sampai 1 februari 2018. Tp mlm ini dpt sms klo paketnya sudah berakhir. Saya brgkt keluar negri subuh besok. Mohon segera diselesaikan!pic.twitter.com/MiLxYMuRVq,1,0,0,Indonesian,https://twitter.com/satriana/status/958333713456160771
Jan 30,@ridoturisma,Dengan seringnya ada sms seperti ini masuk ke inbox jawaban dan solusinya hanya seperti itu saja? Gak ada solusi dan jawaban lain? Hampir setiap hari inbox sms saya seperti itu loh.pic.twitter.com/fjSsJyaDzi,1,0,0,Indonesian,https://twitter.com/ridoturisma/status/958322447916220417
Jan 30,@ridoturisma,"@IndosatCare udah daftar ke 4444 pake KTP & KK ternyata masih belom menjamim untuk di nomor kita bisa terhindar dari sms spam penipuan seperti ini,saya benar2 terganggu sekali dengan adanya sms2 kayak gini yang sering dan banyak masuk ke inbox di nomor saya.pic.twitter.com/90vT2X3Gb4",1,0,0,Indonesian,https://twitter.com/ridoturisma/status/958320252739186688
Jan 30,@ridoturisma,"@IndosatCare selamat malam,boleh saya minta bantuannya untuk menghilangkan sms spam seperti ini masuk ke inbox saya? Saya sangat terganggu dengan banyak dan seringnya sms spam ini masuk ke inbox di nomor indosat saya.pic.twitter.com/1PqSzyvOVj",2,0,0,Indonesian,https://twitter.com/ridoturisma/status/958319577703661568
Jan 30,@azeliasarah,"Pulsa saya mulanya 150rban, skrng tinggal 41rban. Jahat banget deh indosat, utk freedom XL kan ckup loh yapic.twitter.com/R7UL9XNTk2",0,0,0,Indonesian,https://twitter.com/azeliasarah/status/958315698098290689
Jan 30,@znkurniawan,@IndosatCare kok no IM3 kakak saya yang di Prambanan Klaten g bisa dihubungi ya? Diluar jangkauan trs,0,1,0,Indonesian,https://twitter.com/znkurniawan/status/958297214958288900
Jan 30,@anastashasmita,"@IndosatCare Hello, kartu saya sudah 2 hari ini no service. Bisa tolong bantu check, banyak kerjaan ga ke handle karena ini. Pls check!pic.twitter.com/z9Qozo0wEO",1,0,0,Indonesian,https://twitter.com/anastashasmita/status/958167716577271808
Jan 30,@AnnisaDiandari,"@IndosatCare saya ga pernah kirim sms apapun, kenapa tiba2 jadi berlangganan? Jika saya unreg apakah saya kena pulsa?pic.twitter.com/3i0NK5rMue",1,0,0,Indonesian,https://twitter.com/AnnisaDiandari/status/958163007023939584
Jan 30,@qronoz,"Kalo untuk aksesnya saya udah bisa, cuma penasaran aja kenapa dari dulu fitur ini hanya bisa kalo telpon ke nomornya, gak langsung terdaftar gitu kayak di foto ini:pic.twitter.com/sYC45lo32u",2,1,1,Indonesian,https://twitter.com/qronoz/status/958117799196438528
Jan 31,@fulmocha,"@IndosatCare Woy, jangan suka maling pulsa gue. Kuota masih tapi masih digondol pulsanya. Cek-lah sendiri database-nya. Balikin pulsa gue Rp11.000,- dalam waktu 1x60menit!!! Jangan makan pulsa pelanggan. Haram. Ingat siksaan diakhirat kelak!!! @YLKI_ID",0,0,0,Indonesian,https://twitter.com/fulmocha/status/958416129558421504
Jan 30,@nabillahayyi,"saya update paket postpaid saya di tgl 20 min, dr tgl 20 hingga skrg blum pernah pake pulsa untuk apa2. tapi di myIM3 penggunaan pulsa saya sudah segitu. makannya sy bingung itu terpotong untuk apapic.twitter.com/YswPYITNIY",1,0,0,Indonesian,https://twitter.com/nabillahayyi/status/958382163224813568
Jan 30,@NANAninunenooo,"@IndosatCare saya ga bisa registrasi ulang dr kemarin2. Pas ke gerai indosat, ternyata nomor saya sudah ter-registrasi atas nama orang lain. Dan si mbak di gerai lepas tangan. Kebingungan dianya. 

Nomor yg saya pakai uda 15 taun. Gmana nih solusinya?",0,0,0,Indonesian,https://twitter.com/NANAninunenooo/status/958364075955699712
