, Tweet,TweetClean_NonPT,TweetClean_PT
0,"Udah ngeh blm min?
Itu sms 86mb jam 16.06 tanggal 30.01 yang kemarin
Terus saya paketin lagi 16.07 dapet sms di gambar ini

Nah, yang saya komplain itu sms pada 2.59 pada tweet saya di awal, sisa 160mb tapi tbtb dapet sms begitupic.twitter.com/XBk9HOnomP",sadar min sms mb jam tanggal kemarin paketin tweet sisa,sadar min sms mb jam tanggal kemarin paketin tweet sisa
1,"Dibaca itu yang kemarin min 86 mb... Pas jam 16.06, terus gw paketin lagi saat itu juga
Kesedotnya baru tadi 2.59pic.twitter.com/KXYWrQhlt8",dibaca kemarin min mb jam paketin,dibaca kemarin min mb jam paketin
2,"@IndosatCare pusing saya min pake indosat... 
Kuota masih banyak kesedot terus...pic.twitter.com/bA4pzHybJb",pusing min kuota,pusing min kuota
3,"Sudah min sudah, lagian apa yang mau di clear cache juga?.. Kan udah dibilang udah diuninstal terus diinstal lagi tetep aja gak bisa, udah sebulan lebih min kayak gini dan saya gak bisa liat kuota sisa saya..pic.twitter.com/vNodmradtb",min dibilang diuninstal diinstal sebulan min kuota sisa,min dibilang diuninstal diinstal sebulan min kuota sisa
4,"@IndosatCare masi juga lelet euy,, apakah bts bermasalah didaerah sini?? Karna kalau di kantor speedtest aman aman ajahttps://twitter.com/indosatcare/status/958039131791147008 …",masi didaerah karna kantor,masi didaerah karna kantor
5,"@IndosatCare indosh*t ini kenapa saya pindah postpaid malah gak bisa telphone ke operator lain?
Udh bikin laporan telp CS katanya 3x hari kerja, ini udh 5x hari kerja, udah kirim email 2x ke CS telkomsel tak kunjung ada balasan. @jokowi @rudiantara_id smoke & mirrors",kah operator lapor telepon cs kerja kerja kirim email kah cs telkomsel kunjung rudiantara,kah operator lapor telepon cs kerja kerja kirim email kah cs telkomsel kunjung rudiantara
6,"@IndosatCare min, katanya masih perpanjang 1 hari kemudian 3 hari, pas dipake ternyata pulsa reguler lgsg kepotong 59400 tanpa ada notifikasi kalo paket internet dinonaktifkan. Ini gimana??pic.twitter.com/mQEPufTV7c",min perpanjang nyata pulsa notifikasi paket internet,min perpanjang nyata pulsa notifikasi paket internet
7,Nasib pulsa sy yg kepotong secara ajaib gmn? Padahal posisi data seluler nonaktifpic.twitter.com/mn1Kb0YBOf,nasib pulsa ajaib bagamana posisi data,nasib pulsa ajaib bagamana posisi data
8,"@IndosatCare min, kmrn saya hbs beli paket unlimited 10gb tp pas mau aktivasi youtube nya kok ga muncul di my im3 ya itu gmn?",min kemarin gb aktivasi ya,min kemarin gb aktivasi ya
9,"@IndosatCare kenapa sampai 3 kali saya tweet, tapi gaada respon jawaban min ? 
Masa iya kalah sama perusahan layanan transportasi yang sangat sigap dlm merespon :)",tweet respon min iya perusahan layan transportasi merespon,tweet respon min iya perusahan layan transportasi merespon
10,@IndosatCare mohon dicek apa per panjangan otomatis paket bicara 10 jam tampaknya tidak berfungsi. Setiap bln selalu bermasalah dan mengakibatkan tagihan membludak setelah di cek perpanjangan otomatis tidak berfungsi.Biasanya stlh tlp dpt berita sms sdh bbrp hari ini tidak ada,mohon dicek panjangan paket bicara jam fungsi bln akibat membludak cek berita,mohon dicek panjangan paket bicara jam fungsi bln akibat membludak cek berita
11,@IndosatCare baru daftar paket roaming kmrn. Harusnya berlaku selama 3 hari sampai 1 februari 2018. Tp mlm ini dpt sms klo paketnya sudah berakhir. Saya brgkt keluar negri subuh besok. Mohon segera diselesaikan!pic.twitter.com/MiLxYMuRVq,daftar kemarin laku malam sms negeri besok mohon,daftar kemarin laku malam sms negeri besok mohon
12,Dengan seringnya ada sms seperti ini masuk ke inbox jawaban dan solusinya hanya seperti itu saja? Gak ada solusi dan jawaban lain? Hampir setiap hari inbox sms saya seperti itu loh.pic.twitter.com/fjSsJyaDzi,sms kah inbox solusinya solusi,sms kah inbox solusinya solusi
13,"@IndosatCare udah daftar ke 4444 pake KTP & KK ternyata masih belom menjamim untuk di nomor kita bisa terhindar dari sms spam penipuan seperti ini,saya benar2 terganggu sekali dengan adanya sms2 kayak gini yang sering dan banyak masuk ke inbox di nomor saya.pic.twitter.com/90vT2X3Gb4",kah pakai ktp kk menjamim nomor hindar sms spam kali gini kah,kah pakai ktp kk menjamim nomor hindar sms spam kali gini kah
14,"@IndosatCare selamat malam,boleh saya minta bantuannya untuk menghilangkan sms spam seperti ini masuk ke inbox saya? Saya sangat terganggu dengan banyak dan seringnya sms spam ini masuk ke inbox di nomor indosat saya.pic.twitter.com/1PqSzyvOVj",selamat malam sms spam kah kah,selamat malam sms spam kah kah
15,"Pulsa saya mulanya 150rban, skrng tinggal 41rban. Jahat banget deh indosat, utk freedom XL kan ckup loh yapic.twitter.com/R7UL9XNTk2",pulsa,pulsa
16,@IndosatCare kok no IM3 kakak saya yang di Prambanan Klaten g bisa dihubungi ya? Diluar jangkauan trs,no kakak prambanan klaten ya diluar jangkau,no kakak prambanan klaten ya diluar jangkau
17,"@IndosatCare Hello, kartu saya sudah 2 hari ini no service. Bisa tolong bantu check, banyak kerjaan ga ke handle karena ini. Pls check!pic.twitter.com/z9Qozo0wEO",hello kartu kerjaan kah,hello kartu kerjaan kah
18,"@IndosatCare saya ga pernah kirim sms apapun, kenapa tiba2 jadi berlangganan? Jika saya unreg apakah saya kena pulsa?pic.twitter.com/3i0NK5rMue",sms langgan unreg,sms langgan unreg
19,"Kalo untuk aksesnya saya udah bisa, cuma penasaran aja kenapa dari dulu fitur ini hanya bisa kalo telpon ke nomornya, gak langsung terdaftar gitu kayak di foto ini:pic.twitter.com/sYC45lo32u",penasaran fitur telpon kah foto,penasaran fitur telpon kah foto
20,"@IndosatCare Woy, jangan suka maling pulsa gue. Kuota masih tapi masih digondol pulsanya. Cek-lah sendiri database-nya. Balikin pulsa gue Rp11.000,- dalam waktu 1x60menit!!! Jangan makan pulsa pelanggan. Haram. Ingat siksaan diakhirat kelak!!! @YLKI_ID",pulsa kuota digondol pulsanya cek database pulsa langgan haram diakhirat kelak,pulsa kuota digondol pulsanya cek database pulsa langgan haram diakhirat kelak
21,"saya update paket postpaid saya di tgl 20 min, dr tgl 20 hingga skrg blum pernah pake pulsa untuk apa2. tapi di myIM3 penggunaan pulsa saya sudah segitu. makannya sy bingung itu terpotong untuk apapic.twitter.com/YswPYITNIY",min dokter tgl pulsa pulsa,min dokter tgl pulsa pulsa
22,"@IndosatCare saya ga bisa registrasi ulang dr kemarin2. Pas ke gerai indosat, ternyata nomor saya sudah ter-registrasi atas nama orang lain. Dan si mbak di gerai lepas tangan. Kebingungan dianya. 

Nomor yg saya pakai uda 15 taun. Gmana nih solusinya?",registrasi dokter kemarin kah nyata nomor ter registrasi nama manusia si tangan dianya nomor gmana nih,registrasi dokter kemarin kah nyata nomor ter registrasi nama manusia si tangan dianya nomor gmana nih
23,@IndosatCare paket aktif sampe jam 20.37. Jam 20.31 saya nonaktifin mobile data. Jam 20.36 dapet sms katanya saya  internetan pake pulsa dan udah habis 8700. Ini gimana yha.pic.twitter.com/eaVhWpysAw,paket jam jam nonaktifin data jam dapet sms internetan pulsa,paket jam jam nonaktifin data jam dapet sms internetan pulsa
24,"@IndosatCare permisi, kak?
Kenapa sudah 2 hari sinyal IM3 di DIY tidak stabil yaa? Awalnya 4G, lalu jadi 3G lalu hilang lalu 4G lalu 3G lagi kenapa yahh, kak? Terima kasih.. ini paketan sayapic.twitter.com/DMOapmzwNd",permisi kak sinyal yaa yahh kak kasih paketan,permisi kak sinyal yaa yahh kak kasih paketan
25,"@IndosatCare min, pulsa quota internet tiba2 dinonaktifkan tanpa notifikasi, padahal masih cukup pulsa untuk memperpanjang paket freedom 2gb 45rb. Gara2 itu pulsa 60rb ludes. Ini knp??pic.twitter.com/cNwhUDKXPq",min pulsa quota internet notifikasi pulsa paket freedom gb rb gara-gara pulsa,min pulsa quota internet notifikasi pulsa paket freedom gb rb gara-gara pulsa
26,"@IndosatCare operatornya mabok apa gimana ya? Pulsa masih segitu, buat nelpon kok bunyinya ""sisa pulsamu tidak cukup untuk melakukan panggilan ini"" pic.twitter.com/usE8ItDqqg",ya pulsa nelpon bunyinya sisa pulsamu laku,ya pulsa nelpon bunyinya sisa pulsamu laku
27,nomornya masih yang sama. Waktunya tadi jam 14.50. Seperti yang tertera di picture screenshoot sms inipic.twitter.com/gACaB8nHWM,tera,tera
28,@IndosatCare @IM3Ooredoo pulsa saya kesedot Rp. 40.500 padahal saya pake wifi kantor. Dan saat itu paket data off. Mohon kembalikan pulsanyapic.twitter.com/UeGaBx5tMd,pulsa pakai wifi kantor paket data,pulsa pakai wifi kantor paket data
29,@IndosatCare @IM3Ooredoo sudah 2 minggu daftar pasca bayar belum bisa aktif. CS nya ditanya gak ada jawaban. Cuma FU FU terus.pic.twitter.com/beweUZnGux,minggu daftar cs nya fu fu,minggu daftar cs nya fu fu
30,"@IndosatCare maksudnya gmn ya kak? Notif dari sms dan informasi yg ada di aplikasi myIM3 beda untuk keterangan sisa kuota, kejadian seperti ini sudah beberapa kali terulang yg mengakibatkan tersedotnya pulsa saya. Tolong informasinyapic.twitter.com/Pcuvax8kVl",ya kak sms informasi aplikasi terang sisa kuota kali akibat sedot pulsa,ya kak sms informasi aplikasi terang sisa kuota kali akibat sedot pulsa
31,"Hi @IndosatCare langkah2 d atas udh sy lakukan, sdh pindah ke HP yg lain juga tpi tetep sama. Berikut sy lampirkan nomer d belakang kartu sypic.twitter.com/lsAl2WwInD",pindah kah hp nomer,pindah kah hp nomer
32,"Bukan itu lagi,udah ganti......ini udah nomer yg ketiga selalu kaya gtupic.twitter.com/NMY3Cro6hC",ganti nomer,ganti nomer
33,"Sudah dipastikan tidak, soalnya waktu memakai kartu ooredoo adik saya gpp dan lancar2 saja... Soalnya saya pikir hapenya yg soak kak...",kartu ooredoo adik kak,kartu ooredoo adik kak
34,"@IndosatCare beli kuota tanggal 11 Januari ternyata bukan cuma pulsa yg bisa ilang, kuota juga bisa ilang sendiri di Indosat #indosatpic.twitter.com/CEeejguJHI",kuota tanggal januari pulsa ilang kuota ilang,kuota tanggal januari pulsa ilang kuota ilang
35,@IndosatCare knp pulsa sy suka terpotong otomatis padahal sy ga pake utk tlp? Suka dpt sms spt ini sudah hampir seminggupic.twitter.com/lqOW0I3Pf6,pulsa potong tlp sms,pulsa potong tlp sms
36,"@IndosatCare tolong dibantu, saya gak pernah langganan konten sms apapun tau² dpt sms begini barusan. Kenapa sih Indosat sering bgt mendadak berlangganan konten?? Ini gak cuma skali ini kjadian bgini pic.twitter.com/yKOCoJwccG",langgan konten sms sms barusan sih banget dadak langgan konten kali kjadian,langgan konten sms sms barusan sih banget dadak langgan konten kali kjadian
37,@IndosatCare kok speed nya udah beberapa hari ga stabil ya?? Ada gangguan?? Daerah perigi tangselpic.twitter.com/btJFKCcOBv,speed nya ya daerah perigi,speed nya ya daerah perigi
38,@IndosatCare udh bbrp bulan gk pake indosat kirain jaringannya udh bener eh gak taunya tetep aja zonk bin blangsak gk ada peningkatan bgs,badan tingkat,badan tingkat
39,"@IndosatCare kak saya sudah download apk myim3. Mau ngecek kuota, tapi sebelumnya sign up dulu. Saya tp kok gak bisa sign up ya? Katanya nomor telah terdaftar. Padahal ini nomor baru dan saya blm pernah daftar. Mohon bantuannya kak:)pic.twitter.com/SpEcJ5SQ6s",kak download apk ngecek kuota ya nomor daftar nomor daftar mohon,kak download apk ngecek kuota ya nomor daftar nomor daftar mohon
40,@IndosatCare min mau nanya. Katanya kalo beli paket combo apa aja dapat gratis spotify premium sebulan. Kok saya belum dapat ya? Saya baru beli paket combo Mpic.twitter.com/NSXbQ97Rp9,min premium sebulan ya paket combo,min premium sebulan ya paket combo
41,@IndosatCare kenapa pulsa masih 122rb tapi nggak bisa daftar paket unlimited 100 ribu alasannya pulsa tidak cukup/masa tenggang.pic.twitter.com/yNWnP5Zjl4,pulsa alas pulsa,pulsa alas pulsa
42,"Wah ada cara yg lebih efisien ternyata, terima kasih infonya mbak indy :)",efisien kasih infonya,efisien kasih infonya
43,min knp ya aku tlp sesama Indosat ga bisa mulu? Why?,min ya tlp,min ya tlp
44,"saya beberapa menit aktifkan data mode, kayaknya langsung ke sedot pulsanya segitu ya, wowpic.twitter.com/SKodjUwnkP",menit data mode sedot pulsanya,menit data mode sedot pulsanya
45,"@IndosatCare halo mau tanya, gerai indosat yg buka 24 jam atau sampai malam di jakarta ada di mana saja? Mksh.",halo jam malam jakarta,halo jam malam jakarta
46,@IndosatCare apa sdg gangguan nomor indosat sy tidak bisa melakukan panggilan keluar. Ada solusi kah?,nomor laku panggil solusi,nomor laku panggil solusi
47,Saya mau login myim3 tapi lupa password. Ketika masukin no dan email berulang kali tidak bisa kenapa ya.pic.twitter.com/zdMPsDTZ6N,lupa,lupa
48,"@IndosatCare saya reg ulang ke 4444, balasannya:

Maaf, nomor Anda telah terdaftar. Anda tidak dpt melakukan Registrasi Ulang utk nomor ini. Utk perubahan kepemilikan silakan kunjungi Gerai Indosat Ooredoo.

Itu artinya no terdaftar atas nama saya? Atau sdh dimiliki org lain? ",reg balas maaf nomor daftar laku registrasi nomor milik ooredoo no daftar nama orang,reg balas maaf nomor daftar laku registrasi nomor milik ooredoo no daftar nama orang
49,"Waduh parah amat ya 1 menit ilang 40rbu.
Trus knpa kmrin saya tdk bisa perpanjang paket 50rbu/30hari ya?pic.twitter.com/dZWQBwEEnM",parah ya menit ilang kmrin perpanjang paket,parah ya menit ilang kmrin perpanjang paket
50,"@IndosatCare pagi min, ko extra kuotanya gak bisa juga ya ? Udah berkali kali dari kemarin gak ada sms balesan dari indosat min, apa indosatnya lagi gak ada pulsa -,-""pic.twitter.com/ccTBSVSkTw",pagi min ko extra kemarin sms balesan min,pagi min ko extra kemarin sms balesan min
51,ini kok kayak gini? padahal kuota masih freedom combo masih banyak. dari pulsa 17ribuan sekarang jadi 0 dan nggak bisa internet sama sekali.pic.twitter.com/8gnzXqMvx5,gini kuota freedom combo pulsa internet,gini kuota freedom combo pulsa internet
52,@IndosatCare saya mencoba untuk membeli paket yg biasa saya beli tapi kenapa gagal melulu ya ? padahal pulsa mencukupi. tolong segera diproses yapic.twitter.com/wPL5JzpBSm,paket melulu ya pulsa diproses,paket melulu ya pulsa diproses
53,"@IndosatCare mau tanya min. Sy beli paketan data 20gb. Dg paket malam nya 15gb. Masa aktif sampai 27/02/18. Kuota malam jarang di pakai, skrg mau sy pakai tp tidak bisa. Setelah di cek katanya begini. Mohon infonya gimana inipic.twitter.com/aWPinpmqWE",min paketan data gb paket malam nya gb kuota malam cek mohon,min paketan data gb paket malam nya gb kuota malam cek mohon
54,"Saya sering komplen soal potongan pulsa. Nomor saya masih 085781286184.

Kejadiannya udah beberapa kali.
Saya harus gimana ya untuk tindakan preventifnya? Matiin paket data udah, bahkan hp pun dimatiin. Tapi pas cek pulsa, masih ada yang kepotong",komplen pulsa nomor ya preventifnya matiin paket data hp dimatiin cek pulsa,komplen pulsa nomor ya preventifnya matiin paket data hp dimatiin cek pulsa
55,"Saya bingung. Setiap paket yellow mau abis, saya matikan paket datanya 1 jam sebelum. Tapi setelah cek *123# masih sering terkena potongan pulsa walaupun paket data belum dinyalakan. Bingung dari mana nyedotnya",paket datanya jam cek pulsa paket data bingung,paket datanya jam cek pulsa paket data bingung
56,@IndosatCare jaringan 4G tapi kenapa lemot banget yaa? udah 4 hari gini:(,yaa,yaa
